x,y,dx,dy,type,name
81.23832866,1.527925415,6.006363186,0.173962188,red,biomass burning
82.98319328,0.999078264,20.75446975,0.833568818,red,biomass burning
83.35375817,1.832369368,5.140193252,0.087282589,red,biomass burning
83.86437908,2.204264327,27.09378149,0.518275024,red,biomass burning
84.59383754,1.598768092,4.471127718,0.173962188,red,biomass burning
86.70926704,2.421572285,6.606591702,1.322837471,red,biomass burning
87.43872549,1.463907643,8.075826145,0.855344804,red,biomass burning
87.80345472,1.645885705,13.81394384,0.732099845,red,biomass burning
91.15896359,1.645503311,7.474123946,0.260968449,red,biomass burning
95.75455182,1.830956172,1.868530987,0.07973267,red,biomass burning
95.82749767,1.767636684,8.475385414,0.235601673,red,biomass burning
97.65114379,1.628935667,9.54658728,0.44946077,red,biomass burning
105.3104575,1.643890605,11.54504504,0.319013036,red,biomass burning
118.5866013,1.705688828,22.02237678,0.32257525,red,biomass burning
59.28162932,1.775758404,4.786034849,0.166753152,green,biomass burning and desert dust
63.51248833,2.388603257,7.633663075,0.202955886,green,biomass burning and desert dust
69.12931839,2.526456357,3.453215018,0.268216193,green,biomass burning and desert dust
73.43312325,1.57234133,4.301373092,0.221076947,green,biomass burning and desert dust
75.40266106,1.809533785,8.058412675,0.652368272,green,biomass burning and desert dust
85.61507937,1.990389603,6.482634089,0.195741016,green,biomass burning and desert dust
90.2106676,2.377646833,3.150883892,0.231949584,green,biomass burning and desert dust
40.75338469,1.56815162,3.02913598,0.463915869,black,urban industrial
41.55578898,2.67600573,7.148760914,0.513279167,black,urban industrial
42.28524743,3.020177112,6.664374527,0.737001098,black,urban industrial
44.10889356,2.378943648,2.910493727,0.42444642,black,urban industrial
45.71370215,2.988130817,5.331623535,0.355339815,black,urban industrial
45.71370215,2.564737338,6.967276153,0.375095346,black,urban industrial
50.96580299,1.634255934,4.181963305,0.523149518,black,urban industrial
51.84115313,2.698575299,10.66273076,0.697526656,black,urban industrial
53.95658263,1.839676421,2.060703196,0.250140513,black,urban industrial
55.56139122,2.607141527,7.81611004,0.848867336,black,urban industrial
56.87441643,2.302306868,8.17956462,0.480411856,black,urban industrial
57.3120915,1.839294027,3.81719212,0.427774467,black,urban industrial
57.60387488,2.606908765,7.69400539,1.332540554,black,urban industrial
57.82271242,2.072695792,9.814587559,0.513268622,black,urban industrial
58.26038749,2.697843762,20.11382786,0.602112565,black,urban industrial
58.98984594,2.155658702,7.270178777,0.664625205,black,urban industrial
59.5734127,1.304848293,8.542378295,0.394822017,black,urban industrial
