station_name, location, longitude, latitude, altitude, start_bin_height, end_bin_height, n_bins, dt, gdas1_folder, gdastxt_folder, lidar_src_folder,molecular_dataset,lidar_dataset,db_file,aeronet_folder,aeronet_name,generation_folder
haifa, Haifa,35.02,32.8,230,78.75,22485.66016,3000, 50 * 1E-9, H:\data_haifa\DATA FROM TROPOS\GDAS\haifa, H:\data_haifa\DATA FROM TROPOS\GDAS\haifa_preproc, H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS,D:\data_haifa\DATA FROM TROPOS\molecular_dataset,D:\data_haifa\DATA FROM TROPOS\lidar_dataset,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\pollyxt_tropos_calibration.db,D:\data_haifa\AERONET,Technion_Haifa_IL,D:\data_haifa\GENERATION
haifa_shubi, haifa,35.02,32.8,230,78.75,22485.66016,3000, 50 * 1E-9, data_example/gdas, data_example/gdas_txt, H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS,data_example/molecular_dataset,,data_example/pollyxt_tropos_calibration.db,,,
